t,u1,u2,zT1,zT2
0.0575,0.0,1.0,3.756203584701665e-07,1.0115502717113462e-06
0.05775,0.0,1.0,4.04203871838437e-07,1.0254057182041137e-06
0.058,0.0,1.0,4.0431008137562187e-07,1.0357181917652336e-06
0.05825,0.0,1.0,3.989096971870357e-07,1.0042441280954986e-06
0.0585,0.0,1.0,3.6691317340445486e-07,9.664515502786745e-07
0.058750000000000004,0.0,1.0,3.3243532318689264e-07,9.776625167584938e-07
0.059000000000000004,0.0,1.0,3.800139380807569e-07,1.0060915137574694e-06
0.059250000000000004,0.0,1.0,3.722679793747692e-07,9.939785797156302e-07
0.059500000000000004,0.0,1.0,3.527359069995442e-07,9.746132437024932e-07
0.059750000000000004,0.0,1.0,3.3274159278357616e-07,9.822826589251456e-07
0.06,0.0,1.0,3.380472829130485e-07,9.759530024978693e-07
0.06025,0.0,1.0,2.9857633794003406e-07,9.303299669531686e-07
0.0605,0.0,1.0,2.9109704764852145e-07,9.215195892603476e-07
0.06075,0.0,1.0,2.542385432070461e-07,9.395846526165702e-07
0.061,0.0,1.0,3.0972759082010455e-07,8.776153082868576e-07
0.06125,0.0,1.0,3.232404433039287e-07,8.798644973578013e-07
0.0615,0.0,1.0,2.9113480065044945e-07,9.298975123835046e-07
0.06175,0.0,1.0,2.458365686007633e-07,8.521435738185311e-07
0.062,0.0,1.0,2.5263216257413086e-07,8.384421692713187e-07
0.06225,0.0,1.0,2.677161767319823e-07,8.752479447194885e-07
0.0625,0.0,1.0,2.4146062013814463e-07,8.389702613101456e-07
0.06275,0.0,1.0,2.3778978436659948e-07,7.969321956356189e-07
0.063,0.0,1.0,2.1970793217491828e-07,7.93245299602478e-07
0.06325,0.0,1.0,2.732383363081006e-07,7.657446216412141e-07
0.0635,0.0,1.0,2.858784244716344e-07,7.877112327125679e-07
0.06375,0.0,1.0,2.2280858307716808e-07,7.981446795590279e-07
0.064,0.0,1.0,1.85729022877673e-07,8.161312083279104e-07
0.06425,0.0,1.0,2.1381424380198053e-07,7.183897387557008e-07
0.0645,0.0,1.0,1.7147632180335502e-07,7.643008786449575e-07
0.06475,0.0,1.0,2.250152133873525e-07,7.603774260088524e-07
0.065,0.0,1.0,1.8860454976516863e-07,7.393556886710672e-07
0.06525,0.0,1.0,1.8821809990612195e-07,7.390218091147765e-07
0.0655,0.0,1.0,1.5136712881296528e-07,7.829735780407867e-07
0.06575,0.0,1.0,2.1658020272551404e-07,7.028827814600873e-07
0.066,0.0,1.0,1.4499589392857813e-07,6.724600013649174e-07
0.06625,0.0,1.0,1.5037366251872931e-07,7.713403452899423e-07
0.0665,0.0,1.0,1.850416817340565e-07,7.034484689613268e-07
0.06675,0.0,1.0,2.1641868842442058e-07,8.105315159658625e-07
0.067,0.0,1.0,1.660472488888272e-07,7.288608574930497e-07
0.06725,0.0,1.0,1.3788523568016986e-07,7.365693757135718e-07
0.0675,0.0,1.0,2.2195608760084044e-07,6.918972646771473e-07
0.06775,0.0,1.0,1.8445013877680112e-07,6.664822131796293e-07
0.068,0.0,1.0,1.5500941004947587e-07,6.810960260182325e-07
0.06825,0.0,1.0,1.7023687850377152e-07,6.59313529693273e-07
0.0685,0.0,1.0,1.782786648809483e-07,6.998420089920369e-07
0.06875,0.0,1.0,2.3301448301467135e-07,7.154598451950043e-07
